Date,organisateur,Title,Publication
9/12/2015,Sourire à l'innocence,Fiesta aid el adha,
18/10/2015,CSE,Welcome Day,Présentation du club à l'ensemble des étudiants
22/10/2015,ETIC,Wekcome Week,Présentation du club à l'ensemble des étudiants
22/10-21/11/2015,Sourire à l'innocence,Collecte de vetements,"Collecte de vetements,couverture, matelas... au profit des nécessiteux"
27/10-03/11/2015,Ens CHERGOU.B,Tournoi de pétanque(1er tour),
27/10/2015,Cellule TICE,Café Tice,
28/10/2015,GDG,Welcome Day,Présentation du club à l'ensemble des étudiants
29/10/2015,Sourire à l'innocence,Welcome Day,Présentation du club à l'ensemble des étudiants
11/1/2015,ESIMAT,Tournoi d'échecs,
11/3/2015,Ens CHERGOU.B,Tournoi de pétanque ( 2ème tour),
11/5/2015,Shellmates,Welcome Day,Présentation du club à l'ensemble des étudiants
11/7/2015,ETIC,ETIC Day,
11/7/2015,GDG,Réunion des membres du club,
11/7/2015,Sourire à l'innocence,Sortie à l'hopital Lamine Debaghine,
11/9/2015,AJUG,Welcome Day,Présentation du club à l'ensemble des étudiants
11/11/2015,DREFC,Rencontre avec General Electric,
11/11/2015,CSE,Session d'informtion,
14/11/2015,Shellmates,Meet-up,
15-16-17-18/11/2015,ESI,KDDA,
19/11/2015,DREFC,Rencontre avec SEAAL,
24/11/2015,,Rencontre avec M. BOUKHEBZA Djallil,
26/11/2015,ESI,Prix de thèse,
12/5/2015,ESI,Cérémonie de cloture,
12/7/2015,ESI,Rencontre avec M. Ahcene Bounceur,
12/7/2015,SACSS -Maison de jeunes Oued Smar,Conférence de sensibilisation contre le Sida,
12/7/2015,Shellmates,Formation Linux,
12/8/2015,GDG,Réunion des membres,Etablir le planning des événements du club pour l'année en cours
12./12/2015,CSE,SMC,Présenter les projets finalistes SMC3- Recompenser les gagnants
12/12/2015,Shellmates,Réunion des membres,Etablir le planning des événements du club pour l'année en cours
14/12/2015,CVE,Welcome Day,Présentation du club à l'ensemble des étudiants
15/12/2015,ETIC,Présentation des mini-projets,"Permettre aux nouveaux inscrits au club de S'intégrer le plus rapidement possible, et cela en leur accordant une occasion pour travailler en équipe et en leur créant une ambiance de Partage et d’entraide qui les initiera à la méthode de gestion des projets au sein du club."
16-17/12/2015,ETIC,Présentation des mini-projets,
16/12/2015,Shellmates,Sécurité informatique,Workshop sur la sécurité informatique
17....25/02/2016,CVE,Participation au regroupement national des clubs scientifiques activant dans le domaine des énergies renouvelebles,Université des Frères Mentouri Constantine1
19/12/2015,GDG,Formation,"Permettre aux membres d'aquérir des notions essentiel en tant que ingenieur et informaticiens dans les thèmes suivants: Android, Arduino, HTML CSS/ AngularJS, Polymer, Extensions Chrome et Photoshop."
26/12/2015,AJUG-Ooredoo,Devoxx4kids,
,GDG,DevFest Algiers,
1/7/2016,CSE,Motivation Day,
1/9/2016,Shellmates,Hackcamp,"une série des workshops sur les différents domaines de la sécurité informatique(crypto ,stygano ,reverse ingeniring"
2/2/2016,ETIC,Journée en entreprise,"Permettre aux étudiants d’acquérir une expérience à travers les différentes activités faites au sein de l’entreprise, ce qui leur donnera une image réaliste et concrète du domaine."
02/02/2016,Cellule TICE,Café TICE,
02/06/2016,Shellmates,HackINI,
02/09/2016,ESIMAT,"Conférence débat""chess computing""","Concevoir un programme de jeu d'échecs ""projet CERI'"
2/9/2016,ETIC,imagine Cup roadshow,Une suite de talks expliquant le but de la compétition et comment se déroule cette dernière.
13/02/2016,Sourire à l'innocence,Students got talent,"Regroupement des étudiants talentueux ( dessinateur, musiciens, guitariste, ...) de l'ESI et des autres universités afin d'éxposer leurs talents , l'entrée à l'événement est à 200 DA. La somme colectée ira au profit des orphelins/malades et centres d'accueil."
18/02/2016,CSE,Ten things that every student should know,
20/02/2016,GDG,Formation,"Formations en Android, Arduino, HTML/CSS, Angular/JS et Photoshop"
22..25/02/2016,CVE,Participation à la célébration de la nationalisation des hydrocarbures,
24/02/2016,SA2SS/ Dr SEMMAR,"Conférence ""bougez pour votre santé""",
25/03/2016,ESI,Séminaire LMCS,
25-26-27/02/2016,ETIC,Training Camp,
28/2/2016,CSE,Public speaking,Une formation assurée par monsieur Agoun Juba afin de préparer nos membres pour défendre la politique du club partout où ils seront amenés à faire une présentation
3/1/2016,CSE,Formation arduino,"Une formation assurée par Monsieur Lounes Tahar Khallaf étudiant à l’USTHB, cette première séance sera une séance d’initiation à la technologie Arduino elle peut être suivi d’autres séances."
3/5/2016,GDG/WTM,International Women’s Day Algiers,
3/5/2016,ETIC/IVAO Algérie (International Virtual Aviation Organisation),Lan party,Rapprocher les étudiants de l’ESI de la réalité du métier de pilote grâce à un simulateur de vol et de contrôle aérien en suivant les véritables procédures en vigueur.
03/09/2016,ETIC,Journée en entreprise,"rétablir le lien étudiant-vie professionnelle en les rapprochant un peu plus de l’entreprise. Cette visite permettra aux étudiants d’acquérir une expérience à travers les différentes activités faites au sein de l’entreprise, ce qui leur donnera une image réaliste et concrète de ce domaine"
03/09/2016,CSE,Présentation du concours développement de jeux vidéo national AGC,présentation du concours de développement des jeux vidéo ainsi que le game development et le game design.
03/12/2016,Sourire à l'innocence,Visite au centre d'accueil,
3/12/2016,CSE,Formation arduino,"Une formation assurée par Monsieur Lounes Tahar Khallaf étudiant à l’USTHB, cette première séance sera une séance d’initiation à la technologie Arduino elle peut être suivi d’autres séances."
14/03/2016,TICE,Café TICE,
15/03/2016,DREFC,Séminaire EMC,
16/03/2016,CSE,Motivation Day,Une suite de talks motivants pour l'étudiant
16/04/2016,Ens CHERGOU.B,Réunion AIDIC,
18/04/2016,AIESEC,Présentation AIESEC Babez,
19/04/2016,CSE-Microsoft,Finale Imagine Cup,Récompenser les meilleurs projets étudiants en Algérien participants à l’imagine cup.
23/04/2016,CSE,Formation BYB,
26/04/2016,CSE,Formation javascript,
26/04/2016,CSE,Formation Web Marketing,
26/04/2016,ADG,la journée d'étude sur le développement dans les entreprises algériennes,
26/04/2016,Ens CHACHOUA,cérémonie - remise des prix aux meilleurs étudiants,
5/1/2016,ESIMAT,Tournoi d'échecs,
5/3/2016,CSE,Formation C#,
5/3/2016,CSE,Tournoi PES,
5/7/2016,GDG,GDAY,
5/7/2016,CSE,Formation BYB,
5/7/2016,CSE,Formation 3D,
5/7/2016,Etic,Before S2EE,
05/07/2016,Sourire à l'innocence,Visite à l'hopital Zemirli Salim,
7...12/5/2016,CVE,Campagne de reboisement,
09-10/05/2016,ESI,Workshop sur la rédaction d'articles des revues,
13-14/05/2016,Shellmates,Bsides,
14/05/2016,CVE,Formation Arduino,
16/05/2016,Sourire à l'innocence,Every little bit helps,
19/05/2016,CVE,Présentation Summer camp,
21/05/2016,ETIC,S2EE,
29/5/2016,Sourire à l'innocence,Koffat Ramadan,
6/4/2016,Sourire à l'innocence,Collecte de vetements pour l'AID,